messageId,timestamp,author,authorChannelId,isChatOwner,isChatSponsor,isVerified,message
LCC.EhwKGkNKTEs5ZldNMW84REZWbkN3Z1FkaTdVOXJR,2025-09-14 00:56:03.950515+00:00,はン,UC9gzBeJF64YztYeg_ACsOeQ,False,False,False,どこ行ったらそれをやらしてくれますか
LCC.EhwKGkNQZmF6X21NMW84REZYTVlyUVlkS244SXF3,2025-09-14 00:56:11.719358+00:00,Hayato,UCGjjx6rsUriOZmyI1MQq-ZA,False,False,False,まあサッカー界には適材適所って概念あんまりないですから・・・
LCC.EhwKGkNMdkZtdnFNMW84REZWbkN3Z1FkaTdVOXJR,2025-09-14 00:56:12.946384+00:00,宇治,UCSuTfWeTUGq_b01hf-HS7MQ,False,False,False,追いついてくれ
LCC.EhwKGkNKakw3NFNOMW84REZYVEN3Z1FkMm9BUkN3,2025-09-14 00:56:35.310046+00:00,来世はひとなみ,UC1HjLO5RkOQ5zcPolFmuO5A,False,False,False,久保が練習で相手抜きまくるからサイドやらせちゃってる説
LCC.EhwKGkNKLTQ0NGFOMW84REZRckR3Z1FkOXRRZzFR,2025-09-14 00:56:39.305943+00:00,zaako zaako♡,UCksT4w994Acsm86fanaCnmQ,False,False,False,メッシとかヤマルみたいな選手にピッタリな使われ方してたらスター街道歩んでた可能性のある選手いますか
LCC.EhwKGkNLRFVvb3FOMW84REZjNE1yUVlkNFFrS1VB,2025-09-14 00:56:46.631971+00:00,yuki,UCFYAcBbBt3WCveqs28vki7Q,False,False,False,ヘッケ凄くキレてる
LCC.EhwKGkNONnpsSmVOMW84REZaYkh3Z1FkVk5BVTJR,2025-09-14 00:57:13.661593+00:00,ワタル,UCYdDEtigyQ7QFX22i66DwHg,False,False,False,もうメッシほどじゃなくても戦術久保でも良いレベルでしょ
LCC.EhwKGkNPaTQ1SmVOMW84REZjNE1yUVlkNFFrS1VB,2025-09-14 00:57:14.981066+00:00,アキラ,UCQagp4a1EXYwM3q93ooSW3w,False,False,False,そのボールの弾頭、競り方までセオリーがあるんですよね
LCC.EhwKGkNMdnc4Sm1OMW84REZRZkR3Z1FkU0lNdXJR,2025-09-14 00:57:19.373909+00:00,武蔵,UC_2D4wYL4HexyWuzZk4Jdlg,False,False,False,終わった
LCC.EhwKGkNMYTRyNktOMW84REZaYkh3Z1FkVk5BVTJR,2025-09-14 00:57:37.173615+00:00,enwat,UCqCetLJGjGo4oQE9K5SMmJg,False,False,False,ちょっと審判終わってたな...
LCC.EhwKGkNOU0F3YU9OMW84REZjVEh3Z1FkNkZraHRR,2025-09-14 00:57:39.558302+00:00,けい,UC_qbKk3t2mi5FL-jbPLZjiw,False,False,False,攻撃でこの役割なら、守備いいイマノルの方が見てられる
LCC.EhwKGkNKM2E2S21OMW84REZiZk53Z1FkcTFZcDFB,2025-09-14 00:57:52.791107+00:00,ももか,UCBEA7393cCOJ6oeT09s4NDQ,False,False,False,ブライトンかわいそう
LCC.EhwKGkNJT2cxNnFOMW84REZTREV3Z1FkSlNzZlp3,2025-09-14 00:57:54.603525+00:00,ミルクティーgg,UCCVI1c1S1Ca84s22JOYsjxQ,False,False,False,ただの駒としては勿体なすぎる
LCC.EhwKGkNLbnAzclNOMW84REZWckJ3Z1FkaEw4alN3,2025-09-14 00:58:15.698672+00:00,ワタル,UCYdDEtigyQ7QFX22i66DwHg,False,False,False,俺のイーフトとかFIFAの方がもっと上手く久保のこと使える
LCC.EhwKGkNKbVBoTFdOMW84REZUYkR3Z1FkZzk0RkZR,2025-09-14 00:58:16.310497+00:00,ああ,UCmldnXaJ971jQsk6niKkNow,False,False,False,big6倒して中堅以下に負けてくれるブライトンBIG６サポからしたら神すぎるんよな
LCC.EhwKGkNNX0NuTFdOMW84REZjN0h3Z1FkWjdzdzdn,2025-09-14 00:58:16.709160+00:00,ダヨ,UC0iKxQwYNEOoBgWBuyXp-Rg,False,False,False,惜しい！！！久保！！！
LCC.EhwKGkNQX255THVOMW84REZlM0p3Z1FkajdFSUJ3,2025-09-14 00:58:30.017901+00:00,来世はひとなみ,UC1HjLO5RkOQ5zcPolFmuO5A,False,False,False,明らかに久保にボール集まってて草
LCC.EhwKGkNNN1M4cjZOMW84REZlM0p3Z1FkajdFSUJ3,2025-09-14 00:58:36.994641+00:00,enwat,UCqCetLJGjGo4oQE9K5SMmJg,False,False,False,ワァオ
LCC.EhwKGkNOemswY0dOMW84REZkTWtyUVlkelE4aF9B,2025-09-14 00:58:42.748393+00:00,まつん,UC9EHpjVnQ3CoDFZMua1Y7pg,False,False,False,ヒュルツェラー見た目の割にトラディショナルな頭に血上る系監督で好きになってきた
LCC.EhwKGkNPSEh6OGVOMW84REZkTWtyUVlkelE4aF9B,2025-09-14 00:58:55.294699+00:00,ゾン,UCdPjLq1gL_c5Ug1jcbzA0Dw,False,False,False,加藤純一最強
LCC.EhwKGkNMN2o4OVNOMW84REZkZkF3Z1FkRldzR1dB,2025-09-14 00:59:23.151047+00:00,来世はひとなみ,UC1HjLO5RkOQ5zcPolFmuO5A,False,False,False,カレーラス今のところ全負けしてるじゃん
LCC.EhwKGkNOcmZpdFdOMW84REZjRFN3Z1FkSEFVUUR3,2025-09-14 00:59:23.526405+00:00,グル,UCoUFHgRyEJCWZ988VHG23Xg,False,False,False,真ん中で活かしきれてない代表のせいもある？
LCC.EhwKGkNMN0p5OW1OMW84REZRckR3Z1FkOXRRZzFR,2025-09-14 00:59:32.979386+00:00,はン,UC9gzBeJF64YztYeg_ACsOeQ,False,False,False,久保だけドリブルのフレームが違う
LCC.EhwKGkNLS2tzTnVOMW84REZRX0l3Z1FkZWpnWjNB,2025-09-14 00:59:36.725270+00:00,マルコス,UCkbHL7c8jrEUNnIgCKPKZ1w,False,False,False,ここでアーノルドですか笑
LCC.EhwKGkNPaU42dDZOMW84REZlM0p3Z1FkajdFSUJ3,2025-09-14 00:59:43.970331+00:00,ヤマザキパン,UCIyMFZunMEu2ZEFuTGPdlKA,False,False,False,アーノルドか
LCC.EhwKGkNJTEI2ZC1OMW84REZWTVRyUVlkRkpRb2Rn,2025-09-14 00:59:46.051587+00:00,踊る金魚,UCWg7oTIM9tysvhkTx2vKX3A,False,False,False,来年久保レアルあるかな
LCC.EhwKGkNNU1M4dC1OMW84REZlX0R3Z1FkblpJc0Zn,2025-09-14 00:59:46.193110+00:00,ダヨ,UC0iKxQwYNEOoBgWBuyXp-Rg,False,False,False,TAA
LCC.EhwKGkNNbU91dUNOMW84REZYVEN3Z1FkMm9BUkN3,2025-09-14 00:59:47.371679+00:00,enwat,UCqCetLJGjGo4oQE9K5SMmJg,False,False,False,TTA来た
LCC.EhwKGkNPM0hpdUdOMW84REZaYkh3Z1FkVk5BVTJR,2025-09-14 00:59:48.690493+00:00,アキラ,UCQagp4a1EXYwM3q93ooSW3w,False,False,False,来たアーノルド、アーノルド！
LCC.EhwKGkNKSzI1dUdOMW84REZjNE1yUVlkNFFrS1VB,2025-09-14 00:59:50.194689+00:00,ゾン,UCdPjLq1gL_c5Ug1jcbzA0Dw,False,False,False,なんで久保ベンチなん
LCC.EhwKGkNQLW9rT0tOMW84REZWTVRyUVlkRkpRb2Rn,2025-09-14 00:59:50.881547+00:00,いさむ,UCy-brfZhPiapxsDvuLwpPmQ,False,False,False,カルバハルフル稼働無理なんやな
LCC.EhwKGkNMemhsZUtOMW84REZRckR3Z1FkOXRRZzFR,2025-09-14 00:59:50.969754+00:00,Hayato,UCGjjx6rsUriOZmyI1MQq-ZA,False,False,False,一個内側のエリアでプレーしたいですね
LCC.EhwKGkNOSEt1T09OMW84REZaYkh3Z1FkVk5BVTJR,2025-09-14 00:59:53.639308+00:00,ワタル,UCYdDEtigyQ7QFX22i66DwHg,False,False,False,アーノルド出すタイミングそれは合ってるんか
LCC.EhwKGkNMTC15T09OMW84REZkZkF3Z1FkRldzR1dB,2025-09-14 00:59:53.908028+00:00,ももか,UCBEA7393cCOJ6oeT09s4NDQ,False,False,False,堂安が今季点取りまくってるからなー
LCC.EhwKGkNQVy1vLVdOMW84REZkZkF3Z1FkRldzR1dB,2025-09-14 00:59:57.487420+00:00,ぱんさーセカンド,UChSh3-I8KlzjLPH0LtNvvsA,False,False,False,アーノルドチャンス来た
LCC.EhwKGkNNWFJyLWFOMW84REZWUER3Z1FkV3VNazdn,2025-09-14 00:59:59.784024+00:00,ポリオン,UC1rynw3hiM5ecCUDnsuq5sQ,False,False,False,トレント！穴だ！
LCC.EhwKGkNQZmR0LWFOMW84REZjN0h3Z1FkWjdzdzdn,2025-09-14 00:59:59.915587+00:00,臭豆腐,UClPE0AAHIDaC9ewXqaVLVRA,False,False,False,トレントさんだ
LCC.EhwKGkNKMk9zLWVOMW84REZiZk53Z1FkcTFZcDFB,2025-09-14 01:00:01.937176+00:00,ミルクティーgg,UCCVI1c1S1Ca84s22JOYsjxQ,False,False,False,こんな扱いするなら移籍させて欲しいな
LCC.EhwKGkNJV1pxdWlOMW84REZYVEN3Z1FkMm9BUkN3,2025-09-14 01:00:03.888654+00:00,enwat,UCqCetLJGjGo4oQE9K5SMmJg,False,False,False,TTT
LCC.EhwKGkNNUEZfLW1OMW84REZYUFB3Z1FkMWVZREZn,2025-09-14 01:00:07.385190+00:00,ももか,UCBEA7393cCOJ6oeT09s4NDQ,False,False,False,トレントさん！
LCC.EhwKGkNQN2M1LXlOMW84REZkYkh3Z1FkWHBZY2Rn,2025-09-14 01:00:13.285037+00:00,ダヨ,UC0iKxQwYNEOoBgWBuyXp-Rg,False,False,False,TTT
LCC.EhwKGkNMVzVsZTZOMW84REZRckR3Z1FkOXRRZzFR,2025-09-14 01:00:16.131669+00:00,ゴットー,UC8owdKScPolERLJAewxTNCA,False,False,False,トレントさんきたのか
LCC.EhwKGkNNN190dk9OMW84REZkUURyUVlkclBBdnZB,2025-09-14 01:00:27.167061+00:00,T T,UCvHKj9t2occtK0gHqC86z1g,False,False,False,穴を自ら開けていく
LCC.EhwKGkNJWGcydlNOMW84REZYTVlyUVlkS244SXF3,2025-09-14 01:00:29.849594+00:00,Yoma_chan,UCkThUEfuhKG4J_AQN9GRMXQ,False,False,False,TTTきた
LCC.EhwKGkNJeThrUG1OMW84REZRX0l3Z1FkZWpnWjNB,2025-09-14 01:00:39.118725+00:00,ゾン,UCdPjLq1gL_c5Ug1jcbzA0Dw,False,False,False,序盤の勝ち点より戦力の離脱を避けるべき
LCC.EhwKGkNMMmk2dnlOMW84REZaYkh3Z1FkVk5BVTJR,2025-09-14 01:00:46.882660+00:00,allset,UC-pdqS_neAoLd1XJg1yNiYA,False,False,False,ソシエダ、ブライトンと同じ点差何ですね(笑)
LCC.EhwKGkNNYXk5di1OMW84REZVRER3Z1FkMFdjNHhn,2025-09-14 01:00:53.370821+00:00,はン,UC9gzBeJF64YztYeg_ACsOeQ,False,False,False,トレントとラウアセの右サイド不安要素多すぎ問題
LCC.EhwKGkNKT196SUtPMW84REZVRER3Z1FkMFdjNHhn,2025-09-14 01:00:58.976528+00:00,グル,UCoUFHgRyEJCWZ988VHG23Xg,False,False,False,代表呼ばれてなくて先発落ちだったんだ
LCC.EhwKGkNMem91b1dPMW84REZRTTlyUVlka0dRQUNn,2025-09-14 01:01:04.978493+00:00,ワタル,UCYdDEtigyQ7QFX22i66DwHg,False,False,False,なんならソシエダにアーノルド来て久保とのコンビが見たいわ
LCC.EhwKGkNKbWY1SWVPMW84REZiZk53Z1FkcTFZcDFB,2025-09-14 01:01:09.850229+00:00,アキラ,UCQagp4a1EXYwM3q93ooSW3w,False,False,False,その終盤の10分〜15分って次の試合でやっぱり違うんですか？
LCC.EhwKGkNKak02WWlPMW84REZjVEh3Z1FkNkZraHRR,2025-09-14 01:01:12.035651+00:00,ダヨ,UC0iKxQwYNEOoBgWBuyXp-Rg,False,False,False,トレントタレクタンダーターノルド来た
LCC.EhwKGkNNeWh3cDJPMW84REZUYkR3Z1FkZzk0RkZR,2025-09-14 01:01:55.431781+00:00,甘党,UCMbYicvcXL53McStkLlfY2A,False,False,False,いつの間にかめっちゃ右にボール回すようになった
LCC.EhwKGkNQbl8zcW1PMW84REZWbkN3Z1FkaTdVOXJR,2025-09-14 01:02:21.068658+00:00,enwat,UCqCetLJGjGo4oQE9K5SMmJg,False,False,False,大活躍来い
LCC.EhwKGkNOMzB2S3FPMW84REZkYkh3Z1FkWHBZY2Rn,2025-09-14 01:02:22.605960+00:00,ワタル,UCYdDEtigyQ7QFX22i66DwHg,False,False,False,明らかに攻撃の可能性が感じる方
LCC.EhwKGkNKRG80NnVPMW84REZZTER3Z1FkeFFRVy1B,2025-09-14 01:02:25.340938+00:00,allset,UC-pdqS_neAoLd1XJg1yNiYA,False,False,False,良いパスでしたね
LCC.EhwKGkNQdTN2cS1PMW84REZkTWtyUVlkelE4aF9B,2025-09-14 01:02:33.117906+00:00,ああ,UCmldnXaJ971jQsk6niKkNow,False,False,False,クルトワでも流石にめつむるのか
LCC.EhwKGkNJQ2YxYmlPMW84REZjX0V3Z1FkN0JFRk9B,2025-09-14 01:02:52.364699+00:00,ワタル,UCYdDEtigyQ7QFX22i66DwHg,False,False,False,オヤルサバルそのパスセンスない
LCC.EhwKGkNMZXAzYnFPMW84REZjNE1yUVlkNFFrS1VB,2025-09-14 01:02:56.706491+00:00,かふぃ,UCwLwgnQHlgiYtlFT0EZyntQ,False,False,False,うおおお
LCC.EhwKGkNNV1QtcnVPMW84REZVY0lyUVlkSXBnRDdn,2025-09-14 01:02:59.265395+00:00,ダヨ,UC0iKxQwYNEOoBgWBuyXp-Rg,False,False,False,ぐぅううううううううう惜しいいいいいいい
LCC.EhwKGkNPenY2c0dPMW84REZYTVlyUVlkS244SXF3,2025-09-14 01:03:11.595606+00:00,L,UCqEr_dsNjj0OlwZBCDJJ73g,False,False,False,一瞬入ったかと
LCC.EhwKGkNKV0h1OE9PMW84REZkTWtyUVlkelE4aF9B,2025-09-14 01:03:15.005032+00:00,Akuto,UCv2-DnQl2Qy6euR9Kw6oLzw,False,False,False,ブライトンって選手層薄いんですかね？
LCC.EhwKGkNPcVQ3TVdPMW84REZjRFN3Z1FkSEFVUUR3,2025-09-14 01:03:20.004853+00:00,Yoma_chan,UCkThUEfuhKG4J_AQN9GRMXQ,False,False,False,おしい
LCC.EhwKGkNMLUxyTS1PMW84REZZTER3Z1FkeFFRVy1B,2025-09-14 01:03:39.926327+00:00,来世はひとなみ,UC1HjLO5RkOQ5zcPolFmuO5A,False,False,False,オヤルサバルなんでスペイン代表だと上手いのにクラブ戻ってくるのこうなるんだ
LCC.EhwKGkNNV1l5TkNPMW84REZUYkR3Z1FkZzk0RkZR,2025-09-14 01:03:42.483386+00:00,桓騎,UCaqblGX9VvPGtq9VGMw77Fg,False,False,False,トレントってワイスピみたいw
