language,comment_count,avg_length,emoji_rate,cpm,entropy,percentage,match,stream
nl,87,18.49425287356322,8.045977011494253,0.8604663713424537,6.539425130103856,1.2018234562784915,ブライトンvsマンチェスターシティ,Watch My Brother LIVE! - Brighton vs Man City Stream_chat_log
en,1128,9.195921985815604,98.75886524822694,10.800728197159696,9.726339798215974,14.417177914110429,ブライトンvsマンチェスターシティ,【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）_chat_log
ja,6076,12.086899275839368,99.9012508229098,58.1783905371829,11.74868429721882,77.65848670756647,ブライトンvsマンチェスターシティ,【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）_chat_log
ko,60,5.783333333333333,98.33333333333333,0.5745068189978562,5.733831074146847,0.7668711656441718,ブライトンvsマンチェスターシティ,【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）_chat_log
it,21,5.761904761904762,95.23809523809523,0.20107738664924965,4.459431615463367,0.2684049079754601,ブライトンvsマンチェスターシティ,【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）_chat_log
de,47,9.148936170212766,95.74468085106383,0.45003034154832067,5.493614951703439,0.6007157464212679,ブライトンvsマンチェスターシティ,【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）_chat_log
es,11,11.636363636363637,100.0,0.10532625014960696,3.4594316170503334,0.14059304703476483,ブライトンvsマンチェスターシティ,【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）_chat_log
other,318,10.176100628930818,94.0251572327044,3.0448861406886376,8.16968138960437,4.064417177914111,ブライトンvsマンチェスターシティ,【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）_chat_log
zh,15,4.066666666666666,100.0,0.14362670474946404,3.4565647603997194,0.19171779141104295,ブライトンvsマンチェスターシティ,【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）_chat_log
fr,18,9.055555555555555,94.44444444444444,0.17235204569935686,4.169924998845461,0.23006134969325154,ブライトンvsマンチェスターシティ,【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）_chat_log
nl,27,7.851851851851852,100.0,0.25852806854903526,4.640223925046575,0.3450920245398773,ブライトンvsマンチェスターシティ,【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）_chat_log
pt,14,14.714285714285714,85.71428571428571,0.13405159109949977,4.349191767741109,0.17893660531697342,ブライトンvsマンチェスターシティ,【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）_chat_log
ja,7557,11.686648140796612,99.76181024215958,57.93989323500646,11.35280876607008,78.35147744945567,ブライトンvsマンチェスターシティ,【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】_chat_log
en,1342,10.27645305514158,96.94485842026825,10.28918045803608,9.732486486545186,13.913945049248316,ブライトンvsマンチェスターシティ,【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】_chat_log
pt,16,9.0625,100.0,0.12267279234618278,3.9999999976916882,0.16588906168999482,ブライトンvsマンチェスターシティ,【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】_chat_log
ko,98,5.3979591836734695,100.0,0.7513708531203696,5.605588887162839,1.0160705028512182,ブライトンvsマンチェスターシティ,【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】_chat_log
other,355,9.490140845070423,89.5774647887324,2.7218025801809307,8.125224845590509,3.68066355624676,ブライトンvsマンチェスターシティ,【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】_chat_log
nl,37,9.81081081081081,97.2972972972973,0.2836808323005477,5.209453360290981,0.383618455158113,ブライトンvsマンチェスターシティ,【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】_chat_log
it,24,7.875,100.0,0.18400918851927417,4.584962497258688,0.2488335925349922,ブライトンvsマンチェスターシティ,【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】_chat_log
es,10,11.7,100.0,0.07667049521636424,3.3219280934446673,0.10368066355624676,ブライトンvsマンチェスターシティ,【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】_chat_log
zh,20,4.1,100.0,0.15334099043272847,3.246439343084051,0.20736132711249353,ブライトンvsマンチェスターシティ,【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】_chat_log
de,53,8.18867924528302,94.33962264150944,0.40635362464673047,5.638205588674068,0.5495075168481078,ブライトンvsマンチェスターシティ,【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】_chat_log
fr,19,10.052631578947368,100.0,0.14567394091109206,4.321928092001972,0.19699326075686882,ブライトンvsマンチェスターシティ,【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】_chat_log
other,16,12.5625,87.5,0.5703310040385388,3.8749999978359577,5.369127516778524,ブライトンvsマンチェスターシティ,三笘スタメン🇯🇵ブライトン×ボーンマス＆久保建英所属🇯🇵ソシエダ×レアルマドリー【２試合同時リアルタイム分析】※雑談もします_LACSXJ1WkOU_chat_log
ja,233,16.793991416309012,100.0,8.305445246311221,7.842474359902983,78.18791946308725,ブライトンvsマンチェスターシティ,三笘スタメン🇯🇵ブライトン×ボーンマス＆久保建英所属🇯🇵ソシエダ×レアルマドリー【２試合同時リアルタイム分析】※雑談もします_LACSXJ1WkOU_chat_log
en,38,14.131578947368421,97.36842105263158,1.3545361345915297,5.247927507961347,12.751677852348994,ブライトンvsマンチェスターシティ,三笘スタメン🇯🇵ブライトン×ボーンマス＆久保建英所属🇯🇵ソシエダ×レアルマドリー【２試合同時リアルタイム分析】※雑談もします_LACSXJ1WkOU_chat_log
pt,7342,49.605012258240265,8.662489784799781,37.25153247814997,9.842814936048523,58.41820496499045,ブラジルvs日本,Bra
other,2627,18.00228397411496,8.526836695850779,13.32876271044674,9.183697367404232,20.902291534054743,ブラジルvs日本,Bra
en,606,83.67821782178218,6.435643564356436,3.07469745052559,8.809171409756624,4.821769573520051,ブラジルvs日本,Bra
es,284,28.60211267605634,10.211267605633804,1.4409473200482963,7.309654176960185,2.259707192870783,ブラジルvs日本,Bra
de,400,24.6925,10.5,2.029503267673657,7.837017825133444,3.1826861871419476,ブラジルvs日本,Bra
nl,139,47.94244604316547,24.46043165467626,0.7052523855165957,6.086840096331649,1.1059834500318269,ブラジルvs日本,Bra
it,244,24.34016393442623,3.6885245901639343,1.2379969932809307,6.999390062871843,1.941438574156588,ブラジルvs日本,Bra
ja,32,17.125,100.0,0.16236026141389254,1.9627961966151846,0.2546148949713558,ブラジルvs日本,Bra
fr,152,25.80921052631579,7.894736842105263,0.7712112417159896,6.573653656723817,1.20942075111394,ブラジルvs日本,Bra
ja,8578,16.411168104453253,100.0,55.29096048819636,11.373003083533941,93.58498799912721,ブラジルvs日本,Ja_abema
